Row Labels,Area Method of Moments of MFCCs Overall Average,Area Method of Moments of MFCCs Overall Standard Deviation,Beat Sum Overall Average,Beat Sum Overall Standard Deviation,Compactness Overall Average,Compactness Overall Standard Deviation,Fraction Of Low Energy Windows Overall Average,Fraction Of Low Energy Windows Overall Standard Deviation,LPC Overall Average,LPC Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Root Mean Square Overall Average,Root Mean Square Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Centroid Overall Standard Deviation,Spectral Flux Overall Average,Spectral Flux Overall Standard Deviation,Spectral Rolloff Point Overall Average,Spectral Rolloff Point Overall Standard Deviation,Spectral Variability Overall Average,Spectral Variability Overall Standard Deviation,Strength Of Strongest Beat Overall Average,Strength Of Strongest Beat Overall Standard Deviation,Strongest Beat Overall Average,Strongest Beat Overall Standard Deviation,Zero Crossings Overall Average,Zero Crossings Overall Standard Deviation,Label
BRAVERY001E.wav,16292783332,18506421558,20.28,1.777,1602,173.6,0.6002,0.02761,-1.09651,2.1057,54589164.8,16700250.98,0.02586,0.01711,51.11,52,0.00008712,0.0002409,0.3543,0.3371,0.000607,0.0004354,0.009719,0.00035,133.7,17.47,112.8,95.12,B
BRAVERY001F.wav,1.70E+11,72700491302,30.22,10.2,1580,172.9,0.6219,0.04023,-1.18883,2.0159,57423834.01,15250413.78,0.03669,0.02804,34.92,37.35,0.0001736,0.0004251,0.2666,0.3096,0.0009088,0.0007703,0.009729,0.0009731,185.3,22.79,87.21,70.74,B
BRAVERY001G.wav,4.71E+11,97359423485,51.5,8.062,1658,164.4,0.6288,0.05798,-1.05666,2.301,53703883.37,12839369.76,0.05401,0.07817,50.4,37.3,0.0007499,0.004209,0.3654,0.245,0.001318,0.001994,0.009573,0.0002808,162.9,32.94,118.7,68.38,B
BRAVERY002E.wav,9.83E+11,2.08E+11,14.86,5.608,1655,155.3,0.6389,0.0603,-0.69008,1.5298,54277786.94,19264898.09,0.02637,0.02211,13.81,17.42,0.00006305,0.0001503,0.09153,0.1595,0.0006813,0.0006063,0.0101,0.0007587,171.8,35.35,40.32,38.46,B
BRAVERY002F.wav,2.17E+12,5.05E+11,62.09,6.244,1576,155.2,0.5999,0.04671,-0.61027,1.9365,54363622.41,13622929.19,0.04978,0.02638,19.38,23.62,0.0002276,0.0006254,0.1523,0.2278,0.001251,0.0007105,0.009422,0.0002481,164.5,61.17,54.9,50.05,B
BRAVERY002G.wav,3.52E+12,2.39E+11,0,0,1678,188.3,0.5302,0.03947,-0.46982,2.0278,45774570.8,14848524.2,0.04433,0.02137,39.22,32.41,0.0001916,0.0002822,0.2856,0.255,0.001048,0.000534,0,0,0,0,91.52,62.32,B
BRAVERY003E.wav,5.82E+12,1.17E+12,16.58,2.543,1604,191.4,0.6163,0.05312,-0.78606,2.2127,59412947.07,18700094.11,0.02724,0.01759,45.98,53.05,0.00008974,0.0002129,0.3275,0.3603,0.0006638,0.0004737,0.009288,0.0004084,205.4,26.34,102.5,99.47,B
BRAVERY003F.wav,9.84E+12,1.11E+12,14.1,1.289,1645,167.8,0.6567,0.0669,-0.3689473,1.7293,46239501.83,15183282.73,0.02282,0.01654,26.44,24.81,0.00003236,0.0000666,0.1889,0.2314,0.0005734,0.0004511,0.009067,0.0001907,130.6,48.85,65.23,50.98,B
BRAVERY003G.wav,1.33E+13,8.37E+11,73.23,5.573,1555,187.8,0.5942,0.03122,-0.87962,2.3404,55311723.39,27617057.48,0.05008,0.03198,33.84,44.78,0.000263,0.0005604,0.2511,0.3315,0.001257,0.0008834,0.009347,0.0001855,148.7,3.325,79.15,87.33,B
BRAVERY004E.wav,1.84E+13,2.22E+12,26.82,3.325,1612,221.7,0.651,0.042,-0.93738,2.3937,52722550.79,20205337.91,0.03404,0.03227,55.3,58.11,0.0001431,0.0003866,0.3481,0.3407,0.0008215,0.0008509,0.01042,0.000522,199.2,54.75,118.1,105.9,B
